headline,category,url,scraped_at,headline_clean,date,hour,polarity,subjectivity,sentiment
"Bungoma leaders endorse Sifuna for presidency, dismiss calls to back Ruto",Politics,https://www.standardmedia.co.ke/politics/article/2001542060/bungoma-leaders-endorse-sifuna-for-presidency-dismiss-calls-to-back-ruto,2026-03-06 11:57:00,"Bungoma leaders endorse Sifuna for presidency, dismiss calls to back Ruto",2026-03-06,11,0.0,0.0,Neutral
"PS Omollo warns of arrests, prosecution over political rally chaos",Politics,https://www.standardmedia.co.ke/politics/article/2001542039/ps-omollo-warns-of-arrests-prosecution-over-political-rally-chaos,2026-03-06 11:57:00,"PS Omollo warns of arrests, prosecution over political rally chaos",2026-03-06,11,0.0,0.1,Neutral
Inside Gladys Wanga's changing fortunes,Politics,https://www.standardmedia.co.ke/politics/article/2001541975/inside-gladys-wangas-changing-fortunes,2026-03-06 11:57:00,Inside Gladys Wanga's changing fortunes,2026-03-06,11,0.0,0.0,Neutral
Why Hassan Joho wants to be Ruto's 2027 running mate,Politics,https://www.standardmedia.co.ke/politics/article/2001541993/why-hassan-joho-wants-to-be-rutos-2027-running-mate,2026-03-06 11:57:00,Why Hassan Joho wants to be Ruto's 2027 running mate,2026-03-06,11,0.2,0.1,Positive
"Duped, then locked out: Lawyer sues UDA over CS promise and locked portal",Politics,https://www.standardmedia.co.ke/politics/article/2001541974/duped-then-locked-out-lawyer-sues-uda-over-cs-promise-and-locked-portal,2026-03-06 11:57:00,"Duped, then locked out Lawyer sues UDA over CS promise and locked portal",2026-03-06,11,0.0,0.0,Neutral
Oburu-Wanga: Ruto's negotiators or grassroots mobilizers?,Politics,https://www.standardmedia.co.ke/politics/article/2001541980/oburu-wanga-rutos-negotiators-or-grassroots-mobilizers,2026-03-06 11:57:00,Oburu-Wanga Ruto's negotiators or grassroots mobilizers?,2026-03-06,11,0.0,0.0,Neutral
Ruto throws PAA into disarray after State House meeting,Politics,https://www.standardmedia.co.ke/politics/article/2001541989/ruto-throws-paa-into-disarray-after-state-house-meeting,2026-03-06 11:57:00,Ruto throws PAA into disarray after State House meeting,2026-03-06,11,0.0,0.0,Neutral
"Sifuna's moment, Luhya surge as 2027 beckons",Politics,https://www.standardmedia.co.ke/politics/article/2001541919/sifunas-moment-luhya-surge-as-2027-beckons,2026-03-06 11:57:00,"Sifuna's moment, Luhya surge as 2027 beckons",2026-03-06,11,0.0,0.0,Neutral
"Of empty office and witchcraft whispers: Godhana's battle with faith, fear and politics",Politics,https://www.standardmedia.co.ke/politics/article/2001541883/of-empty-office-and-witchcraft-whispers-godhanas-battle-with-faith-fear-and-politics,2026-03-06 11:57:00,"Of empty office and witchcraft whispers Godhana's battle with faith, fear and politics",2026-03-06,11,-0.1,0.5,Neutral
"Why court has blocked police from arresting, prosecuting fertility doctor",Politics,https://www.standardmedia.co.ke/crime-and-justice/article/2001542431/why-court-has-blocked-police-from-arresting-prosecuting-fertility-doctor,2026-03-06 11:57:00,"Why court has blocked police from arresting, prosecuting fertility doctor",2026-03-06,11,0.0,0.0,Neutral
How DNA verdict saved daughter's share in late Mark Too's estate,Politics,https://www.standardmedia.co.ke/crime-and-justice/article/2001542429/how-dna-verdict-saved-daughters-share-in-late-mark-toos-estate,2026-03-06 11:57:00,How DNA verdict saved daughter's share in late Mark Too's estate,2026-03-06,11,-0.3,0.6,Negative
Ethiopia rebels gang-raped children- Amnesty,Politics,https://www.standardmedia.co.ke/africa/article/2001542432/ethiopia-rebels-gang-raped-children-amnesty,2026-03-06 11:57:00,Ethiopia rebels gang-raped children- Amnesty,2026-03-06,11,0.0,0.0,Neutral
"Johana Ng'eno's paradox: Love, power and tragic end",Politics,https://www.standardmedia.co.ke/national/article/2001542428/johana-ngenos-paradox-love-power-and-tragic-end,2026-03-06 11:57:00,"Johana Ng'eno's paradox Love, power and tragic end",2026-03-06,11,-0.125,0.675,Negative
"Vybz Kartel denies links to Talanta East Africa Festival, warns fans of fake tour",Politics,https://www.standardmedia.co.ke/entertainment/article/2001542427/vybz-kartel-denies-links-to-talanta-east-africa-festival-warns-fans-of-fake-tour,2026-03-06 11:57:00,"Vybz Kartel denies links to Talanta East Africa Festival, warns fans of fake tour",2026-03-06,11,-0.5,1.0,Negative
Mini-budget tests IMF austerity demands as State spending soars,Business,https://www.standardmedia.co.ke/business/business/article/2001542397/mini-budget-tests-imf-austerity-demands-as-state-spending-soars,2026-03-06 11:58:00,Mini-budget tests IMF austerity demands as State spending soars,2026-03-06,11,0.0,0.0,Neutral
State: Gulf firms to keep fuel flowing into Kenya despite Middle East crisis,Business,https://www.standardmedia.co.ke/business/business/article/2001542402/state-gulf-firms-to-keep-fuel-flowing-into-kenya-despite-middle-east-crisis,2026-03-06 11:58:00,State Gulf firms to keep fuel flowing into Kenya despite Middle East crisis,2026-03-06,11,0.0,0.0,Neutral
"GCR affirms Afreximbank ratings, removes rating watch on reduced sovereign risk",Business,https://www.standardmedia.co.ke/business/business/article/2001542421/gcr-affirms-afreximbank-ratings-removes-rating-watch-on-reduced-sovereign-risk,2026-03-06 11:58:00,"GCR affirms Afreximbank ratings, removes rating watch on reduced sovereign risk",2026-03-06,11,0.0,0.0,Neutral
MPs demand names of defaulters as Hustler Fund unpaid loans hit Sh12.5b,Business,https://www.standardmedia.co.ke/business/business/article/2001542409/mps-demand-names-of-defaulters-as-hustler-fund-unpaid-loans-hit-sh125b,2026-03-06 11:58:00,MPs demand names of defaulters as Hustler Fund unpaid loans hit Sh12.5b,2026-03-06,11,0.2,0.4,Positive
"KQ picks NSE boss Kiprono Kittony, David Ndii in Board shake-up",Business,https://www.standardmedia.co.ke/business/business/article/2001542383/kq-picks-nse-boss-kiprono-kittony-david-ndii-in-board-shake-up,2026-03-06 11:58:00,"KQ picks NSE boss Kiprono Kittony, David Ndii in Board shake-up",2026-03-06,11,0.0,0.0,Neutral
Tea market nets Sh1.5 billion for the smallholder factories in a week,Business,https://www.standardmedia.co.ke/business/business/article/2001542381/tea-market-nets-sh15-billion-for-the-smallholder-factories-in-a-week,2026-03-06 11:58:00,Tea market nets Sh1.5 billion for the smallholder factories in a week,2026-03-06,11,0.0,0.0,Neutral
MultiChoice shuts down Showmax after 11 years,Business,https://www.standardmedia.co.ke/business/business/article/2001542359/multichoice-shuts-down-showmax-after-11-years,2026-03-06 11:58:00,MultiChoice shuts down Showmax after 11 years,2026-03-06,11,-0.15555555555555559,0.2888888888888889,Negative
Dividend boom for Absa shareholders as profit up 10pc to Sh22.9B,Business,https://www.standardmedia.co.ke/business/business/article/2001542334/dividend-boom-for-absa-shareholders-as-profit-up-10pc-to-sh229b,2026-03-06 11:58:00,Dividend boom for Absa shareholders as profit up 10pc to Sh22.9B,2026-03-06,11,0.0,0.0,Neutral
Why this is the best time to own a house,Business,https://www.standardmedia.co.ke/business/real-estate/article/2001542319/why-this-is-the-best-time-to-own-a-house,2026-03-06 11:58:00,Why this is the best time to own a house,2026-03-06,11,0.8,0.65,Positive
Why Freight costs at Mombasa Port have increased by 50pc,Business,https://www.standardmedia.co.ke/business/shipping-logistics/article/2001542318/why-freight-costs-at-mombasa-port-have-increased-by-50pc,2026-03-06 11:58:00,Why Freight costs at Mombasa Port have increased by 50pc,2026-03-06,11,0.0,0.0,Neutral
How affordable housing is reshaping Kisumu property market,Business,https://www.standardmedia.co.ke/business/real-estate/article/2001542298/how-affordable-housing-is-reshaping-kisumu-property-market,2026-03-06 11:58:00,How affordable housing is reshaping Kisumu property market,2026-03-06,11,0.0,0.0,Neutral
"Mbadi's double speak: CS now says NIF a Fund, not limited company",Business,https://www.standardmedia.co.ke/business/business/article/2001542311/mbadis-double-speak-cs-now-says-nif-a-fund-not-limited-company,2026-03-06 11:58:00,"Mbadi's double speak CS now says NIF a Fund, not limited company",2026-03-06,11,0.017857142857142856,0.07142857142857142,Neutral
Afreximbank tops Bloomberg's Africa borrower loan league tables for 2025,Business,https://www.standardmedia.co.ke/business/business/article/2001542321/afreximbank-tops-bloombergs-africa-borrower-loan-league-tables-for-2025,2026-03-06 11:58:00,Afreximbank tops Bloomberg's Africa borrower loan league tables for 2025,2026-03-06,11,0.0,0.0,Neutral
"KTDA elects new chairperson, vice chair",Business,https://www.standardmedia.co.ke/business/business/article/2001542297/ktda-elects-new-chairperson-vice-chair,2026-03-06 11:58:00,"KTDA elects new chairperson, vice chair",2026-03-06,11,0.13636363636363635,0.45454545454545453,Positive
"Museveni launches Uganda's first Islamic insurance providerYoweri Museveni has launched Uganda’s first Islamic insurance provider, Tamini, a sister company to Salaam Bank.",Business,https://www.standardmedia.co.ke/business/business/article/2001542293/museveni-launches-ugandas-first-islamic-insurance-provider,2026-03-06 11:58:00,"Museveni launches Uganda's first Islamic insurance providerYoweri Museveni has launched Ugandas first Islamic insurance provider, Tamini, a sister company to Salaam Bank.",2026-03-06,11,0.25,0.3333333333333333,Positive
Kenya Pipeline beats Sh106b IPO target as investors scramble for sharesThe Kenya Pipeline Company (KPC) will soon be listed at the Nairobi Stocks Exchange (NSE) after a successful Initial Public Offering (IPO) where its shares were oversubscribed.,Business,https://www.standardmedia.co.ke/business/business/article/2001542275/kenya-pipeline-beats-sh106b-ipo-target-as-investors-scramble-for-shares,2026-03-06 11:58:00,Kenya Pipeline beats Sh106b IPO target as investors scramble for sharesThe Kenya Pipeline Company KPC will soon be listed at the Nairobi Stocks Exchange NSE after a successful Initial Public Offering IPO where its shares were oversubscribed.,2026-03-06,11,0.25,0.33888888888888885,Positive
Murang'a Industrial park attracts 27 investors on Delmonte land,Business,https://www.standardmedia.co.ke/business/business/article/2001542258/muranga-industrial-park-attracts-27-investors-on-delmonte-land,2026-03-06 11:58:00,Murang'a Industrial park attracts 27 investors on Delmonte land,2026-03-06,11,0.0,0.0,Neutral
Uganda joins Kenya and Djibouti in Islamic insurance expansion,Business,https://www.standardmedia.co.ke/business/business/article/2001542239/uganda-joins-kenya-and-djibouti-in-islamic-insurance-expansion,2026-03-06 11:58:00,Uganda joins Kenya and Djibouti in Islamic insurance expansion,2026-03-06,11,0.0,0.0,Neutral
Enos Njeru makes a comeback at KTDA Holding,Business,https://www.standardmedia.co.ke/business/business/article/2001542232/enos-njeru-makes-a-comeback-at-ktda-holding,2026-03-06 11:58:00,Enos Njeru makes a comeback at KTDA Holding,2026-03-06,11,0.0,0.0,Neutral
Inside reforms and risks of contract conversion for civil Service,Business,https://www.standardmedia.co.ke/business/work-life/article/2001542204/inside-reforms-and-risks-of-contract-conversion-for-civil-service,2026-03-06 11:58:00,Inside reforms and risks of contract conversion for civil Service,2026-03-06,11,0.0,0.0,Neutral
"Police, prison officers to benefit from 47,000 housing units plan",Business,https://www.standardmedia.co.ke/business/real-estate/article/2001542157/police-prison-officers-to-benefit-from-47000-housing-units-plan,2026-03-06 11:58:00,"Police, prison officers to benefit from 47,000 housing units plan",2026-03-06,11,0.0,0.0,Neutral
"Manyanja Mall: Quickmart, Goodlife and Rubis among anchor tenants of Sh400 million mall",Business,https://www.standardmedia.co.ke/business/real-estate/article/2001541739/manyanja-mall-quickmart-goodlife-and-rubis-among-anchor-tenants-of-sh400-million-mall,2026-03-06 11:58:00,"Manyanja Mall Quickmart, Goodlife and Rubis among anchor tenants of Sh400 million mall",2026-03-06,11,0.0,0.0,Neutral
Inside beer distribution dispute threatening Diageo's exit plan,Business,https://www.standardmedia.co.ke/business/financial-standard/article/2001542087/inside-beer-distribution-dispute-threatening-diageos-exit-plan,2026-03-06 11:58:00,Inside beer distribution dispute threatening Diageo's exit plan,2026-03-06,11,0.0,0.0,Neutral
"Sale of strategic assets, infrastructure fund offer new fodder for Ruto critics",Business,https://www.standardmedia.co.ke/business/financial-standard/article/2001542090/sale-of-strategic-assets-infrastructure-fund-offer-new-fodder-for-ruto-critics,2026-03-06 11:58:00,"Sale of strategic assets, infrastructure fund offer new fodder for Ruto critics",2026-03-06,11,0.13636363636363635,0.45454545454545453,Positive
From austerity to handouts: Ruto's Sh4.7tr pre-election budget to appease Kenyans,Business,https://www.standardmedia.co.ke/business/financial-standard/article/2001541570/from-austerity-to-handouts-rutos-sh47tr-pre-election-budget-to-appease-kenyans,2026-03-06 11:58:00,From austerity to handouts Ruto's Sh4.7tr pre-election budget to appease Kenyans,2026-03-06,11,0.0,0.0,Neutral
How Kenya missed out on Sh125b World Bank project,Business,https://www.standardmedia.co.ke/business/financial-standard/article/2001542085/how-kenya-missed-out-on-sh125b-world-bank-project,2026-03-06 11:58:00,How Kenya missed out on Sh125b World Bank project,2026-03-06,11,0.0,0.0,Neutral
Vanishing cigarettes: Smuggling rackets that cost Kenya millions,Business,https://www.standardmedia.co.ke/business/financial-standard/article/2001541572/vanishing-cigarettes-smuggling-rackets-that-cost-kenya-millions,2026-03-06 11:58:00,Vanishing cigarettes Smuggling rackets that cost Kenya millions,2026-03-06,11,0.0,0.0,Neutral
Mbadi: Malaba SGR extension aims to shun  external debt,Business,https://www.standardmedia.co.ke/business/financial-standard/article/2001541566/mbadi-malaba-sgr-extension-aims-to-shun-external-debt,2026-03-06 11:58:00,Mbadi Malaba SGR extension aims to shun external debt,2026-03-06,11,0.0,0.1,Neutral
From SGR operations to dollar deals: Inside Kenya Railways audit queries,Business,https://www.standardmedia.co.ke/business/financial-standard/article/2001541018/from-sgr-operations-to-dollar-deals-inside-kenya-railways-audit-queries,2026-03-06 11:58:00,From SGR operations to dollar deals Inside Kenya Railways audit queries,2026-03-06,11,0.0,0.0,Neutral
Konza inks deal with Moroccan firm to deliver AI certification,Business,https://www.standardmedia.co.ke/business/sci-tech/article/2001541963/konza-inks-deal-with-moroccan-firm-to-deliver-ai-certification,2026-03-06 11:58:00,Konza inks deal with Moroccan firm to deliver AI certification,2026-03-06,11,-0.2,0.4,Negative
"Murang'a leads counties in jobs, digital services",Business,https://www.standardmedia.co.ke/business/sci-tech/article/2001541673/muranga-leads-counties-in-jobs-digital-services,2026-03-06 11:58:00,"Murang'a leads counties in jobs, digital services",2026-03-06,11,0.0,0.0,Neutral
PS Isaboke calls for adoption of technology that addresses consumer needs,Business,https://www.standardmedia.co.ke/business/sci-tech/article/2001540691/ps-isaboke-calls-for-adoption-of-technology-that-addresses-consumer-needs,2026-03-06 11:58:00,PS Isaboke calls for adoption of technology that addresses consumer needs,2026-03-06,11,0.0,0.0,Neutral
"Kenya, Italy hand 130 African startups keys to AI revolution",Business,https://www.standardmedia.co.ke/business/sci-tech/article/2001540598/kenya-italy-hand-130-african-startups-keys-to-ai-revolution,2026-03-06 11:58:00,"Kenya, Italy hand 130 African startups keys to AI revolution",2026-03-06,11,0.0,0.0,Neutral
"Jack of two trades, master of both: From sporting heroes to business championsInstead of waiting for retirement to figure things out, sportsmen are investing early, building businesses and shaping life beyond medals and trophies.",Business,https://www.standardmedia.co.ke/business/sports/article/2001542037/jack-of-two-trades-master-of-both-from-sporting-heroes-to-business-champions,2026-03-06 11:58:00,"Jack of two trades, master of both From sporting heroes to business championsInstead of waiting for retirement to figure things out, sportsmen are investing early, building businesses and shaping life beyond medals and trophies.",2026-03-06,11,0.1,0.3,Neutral
PremiumHow broken league is derailing Kenya Lionesses' future,Business,https://www.standardmedia.co.ke/business/rugby/article/2001541940/how-broken-league-is-derailing-kenya-lionesses-future,2026-03-06 11:58:00,PremiumHow broken league is derailing Kenya Lionesses' future,2026-03-06,11,-0.2,0.2625,Negative
PremiumA decade at the helm: Gianni Infantino marks 10 years as Kenya features in FIFA's long-term plan,Business,https://www.standardmedia.co.ke/business/football/article/2001541777/a-decade-at-the-helm-gianni-infantino-marks-10-years-as-kenya-features-in-fifas-long-term-plan,2026-03-06 11:58:00,PremiumA decade at the helm Gianni Infantino marks 10 years as Kenya features in FIFA's long-term plan,2026-03-06,11,0.0,0.0,Neutral
PremiumBeyond the playbook: Inside secrets of successful high school tacticians,Business,https://www.standardmedia.co.ke/business/sports/article/2001541535/beyond-the-playbook-inside-secrets-of-successful-high-school-tacticians,2026-03-06 11:58:00,PremiumBeyond the playbook Inside secrets of successful high school tacticians,2026-03-06,11,0.455,0.7449999999999999,Positive
"PremiumHow calm Jarvis came, saw and bagged Sh60m in just four days",Business,https://www.standardmedia.co.ke/business/golf/article/2001541532/how-calm-jarvis-came-saw-and-bagged-sh60m-in-just-four-days,2026-03-06 11:58:00,"PremiumHow calm Jarvis came, saw and bagged Sh60m in just four days",2026-03-06,11,0.30000000000000004,0.75,Positive
PremiumAnest Karegi: One-handed man baffling villagers with soccer pitch exploits,Business,https://www.standardmedia.co.ke/business/sports/article/2001541214/anest-karegi-one-handed-man-baffling-villagers-with-soccer-pitch-exploits,2026-03-06 11:58:00,PremiumAnest Karegi One-handed man baffling villagers with soccer pitch exploits,2026-03-06,11,0.0,0.0,Neutral
PremiumInside Victor Omune's Ingwe push to fulfil father's dream,Business,https://www.standardmedia.co.ke/business/football/article/2001541087/inside-victor-omunes-ingwe-push-to-fulfil-fathers-dream,2026-03-06 11:58:00,PremiumInside Victor Omune's Ingwe push to fulfil father's dream,2026-03-06,11,0.0,0.0,Neutral
PremiumHow Kevin Wekesa turned rugby platform into climate action force,Business,https://www.standardmedia.co.ke/business/rugby/article/2001540535/how-kevin-wekesa-turned-rugby-platform-into-climate-action-force,2026-03-06 11:58:00,PremiumHow Kevin Wekesa turned rugby platform into climate action force,2026-03-06,11,0.1,0.1,Neutral
PremiumWhy Rising Starlets aren't out of the woods,Business,https://www.standardmedia.co.ke/business/sports/article/2001540447/why-rising-starlets-arent-out-of-the-woods,2026-03-06 11:58:00,PremiumWhy Rising Starlets aren't out of the woods,2026-03-06,11,0.0,0.0,Neutral
Expanding tax base key to Kenya's economic prosperity,Business,https://www.standardmedia.co.ke/business/opinion/article/2001542153/expanding-tax-base-key-to-kenyas-economic-prosperity,2026-03-06 11:58:00,Expanding tax base key to Kenya's economic prosperity,2026-03-06,11,-0.20000000000000004,0.7333333333333334,Negative
Why every Kenyan must protect their personal data,Business,https://www.standardmedia.co.ke/business/opinion/article/2001541958/why-every-kenyan-must-protect-their-personal-data,2026-03-06 11:58:00,Why every Kenyan must protect their personal data,2026-03-06,11,0.0,0.3,Neutral
Dashboards: How to locate the blind spot,Business,https://www.standardmedia.co.ke/business/opinion/article/2001541709/dashboards-how-to-locate-the-blind-spot,2026-03-06 11:58:00,Dashboards How to locate the blind spot,2026-03-06,11,-0.5,0.6666666666666666,Negative
Time to change Kenya's e-mobility policy from strategic vision to measured transition,Business,https://www.standardmedia.co.ke/business/opinion/article/2001541633/time-to-change-kenyas-e-mobility-policy-from-strategic-vision-to-measured-transition,2026-03-06 11:58:00,Time to change Kenya's e-mobility policy from strategic vision to measured transition,2026-03-06,11,0.0,0.0,Neutral
Kenyan startups outshine Africa with three major innovation wins,Business,https://www.standardmedia.co.ke/business/enterprise/article/2001542022/kenyan-startups-outshine-africa-with-three-major-innovation-wins,2026-03-06 11:58:00,Kenyan startups outshine Africa with three major innovation wins,2026-03-06,11,0.18125,0.35,Positive
"AI platform to fast-track women, youth into Kenya's green jobs",Business,https://www.standardmedia.co.ke/business/enterprise/article/2001541771/ai-platform-to-fast-track-women-youth-into-kenyas-green-jobs,2026-03-06 11:58:00,"AI platform to fast-track women, youth into Kenya's green jobs",2026-03-06,11,-0.2,0.3,Negative
How UAE's Sh130 billion AI initiative could transform African economies,Business,https://www.standardmedia.co.ke/business/enterprise/article/2001541718/how-uaes-sh130-billion-ai-initiative-could-transform-african-economies,2026-03-06 11:58:00,How UAE's Sh130 billion AI initiative could transform African economies,2026-03-06,11,0.0,0.0,Neutral
The man financing Africa's cargo flow and missing link in trade boom,Business,https://www.standardmedia.co.ke/business/enterprise/article/2001542214/the-man-financing-africas-cargo-flow-and-missing-link-in-trade-boom,2026-03-06 11:58:00,The man financing Africa's cargo flow and missing link in trade boom,2026-03-06,11,-0.2,0.05,Negative
How a grieving Busia couple turned agony into profitable venture,Business,https://www.standardmedia.co.ke/business/enterprise/article/2001541711/how-a-grieving-busia-couple-turned-agony-into-profitable-venture,2026-03-06 11:58:00,How a grieving Busia couple turned agony into profitable venture,2026-03-06,11,0.0,0.0,Neutral
When fundamentals are stable but the patient is terrified,Business,https://www.standardmedia.co.ke/business/enterprise/article/2001541292/when-fundamentals-are-stable-but-the-patient-is-terrified,2026-03-06 11:58:00,When fundamentals are stable but the patient is terrified,2026-03-06,11,0.0,0.0,Neutral
"Why services sector offers best bet for jobs, economic development",Business,https://www.standardmedia.co.ke/business/enterprise/article/2001541290/why-services-sector-offers-best-bet-for-jobs-economic-development,2026-03-06 11:58:00,"Why services sector offers best bet for jobs, economic development",2026-03-06,11,0.43333333333333335,0.16666666666666666,Positive
This woman Kibue: Kenya's first female professor of architecture,Business,https://www.standardmedia.co.ke/business/work-life/article/2001533190/this-woman-kibue-kenyas-first-female-professor-of-architecture,2026-03-06 11:58:00,This woman Kibue Kenya's first female professor of architecture,2026-03-06,11,0.125,0.25,Positive
From rot to revenue: How farmers are redefining waste into wealth,Business,https://www.standardmedia.co.ke/business/work-life/article/2001533158/from-rot-to-revenue-how-farmers-are-redefining-waste-into-wealth,2026-03-06 11:58:00,From rot to revenue How farmers are redefining waste into wealth,2026-03-06,11,-0.2,0.0,Negative
"Fintechs prioritise experience, financial education during customer service week",Business,https://www.standardmedia.co.ke/business/work-life/article/2001531503/fintechs-prioritise-experience-financial-education-during-customer-service-week,2026-03-06 11:58:00,"Fintechs prioritise experience, financial education during customer service week",2026-03-06,11,0.0,0.0,Neutral
How high-value bee products can unlock millions for Kenyans,Business,https://www.standardmedia.co.ke/business/dr-pesa/article/2001542202/how-high-value-bee-products-can-unlock-millions-for-kenyans,2026-03-06 11:58:00,How high-value bee products can unlock millions for Kenyans,2026-03-06,11,0.0,0.0,Neutral
What the new green number plates for electric vehicles mean,Business,https://www.standardmedia.co.ke/business/motoring/article/2001540319/what-the-new-green-number-plates-for-electric-vehicles-mean,2026-03-06 11:58:00,What the new green number plates for electric vehicles mean,2026-03-06,11,-0.1253787878787879,0.48068181818181815,Negative
Motoring: Why Suzuki is winning Kenya's taxi market,Business,https://www.standardmedia.co.ke/business/motoring/article/2001539631/motoring-why-suzuki-is-winning-kenyas-taxi-market,2026-03-06 11:58:00,Motoring Why Suzuki is winning Kenya's taxi market,2026-03-06,11,0.5,0.75,Positive
